x,y,date,year,month,month_name,station
-0.09038507,-4.4122076,2020-06-30,2020,6,Jun,UAX
0.7670772,-5.6234465,2020-07-01,2020,7,Jul,MER
0.41078317,-5.581459,2020-07-02,2020,7,Jul,MER
0.5675409,-5.923276,2020-07-03,2020,7,Jul,MER
0.60408306,-5.440931,2020-07-04,2020,7,Jul,BJU
1.7561408,-4.7738748,2020-07-07,2020,7,Jul,MER
2.4828982,-5.6276803,2020-07-08,2020,7,Jul,UAX
1.775738,-3.106884,2020-07-09,2020,7,Jul,UAX
0.899863,-2.409761,2020-07-10,2020,7,Jul,BJU
0.99243915,-5.3382516,2020-07-11,2020,7,Jul,MER
0.7578751,-6.2208734,2020-07-12,2020,7,Jul,BJU
0.41735613,-4.4305778,2020-07-13,2020,7,Jul,MER
0.45652944,-3.4813297,2020-07-14,2020,7,Jul,BJU
0.6932901,-4.3871665,2020-07-15,2020,7,Jul,BJU
0.8023552,-4.7106543,2020-07-16,2020,7,Jul,BJU
0.8397975,-5.783131,2020-07-17,2020,7,Jul,MER
0.48905516,-5.239554,2020-07-18,2020,7,Jul,MER
0.46468818,-6.1665826,2020-07-19,2020,7,Jul,MER
-0.28215116,-3.538187,2020-07-20,2020,7,Jul,MER
0.14533198,-4.653004,2020-07-21,2020,7,Jul,MER
-0.20130324,-5.75252,2020-07-22,2020,7,Jul,BJU
1.124982,-3.6261525,2020-07-23,2020,7,Jul,MER
-0.39228415,-6.3088965,2020-07-24,2020,7,Jul,UAX
-0.022070043,-5.3089833,2020-07-25,2020,7,Jul,BJU
1.1699916,-3.6253605,2020-07-26,2020,7,Jul,UAX
1.400092,-4.6219916,2020-07-27,2020,7,Jul,UAX
1.8883604,-6.1870427,2020-07-28,2020,7,Jul,MER
2.6045344,-4.5661573,2020-07-29,2020,7,Jul,UAX
0.8060724,-2.2504764,2020-07-30,2020,7,Jul,MER
1.9451804,-4.279919,2020-07-31,2020,7,Jul,UAX
1.7599974,-3.1154945,2020-08-01,2020,8,Ago,BJU
1.4978583,-5.39183,2020-08-07,2020,8,Ago,BJU
1.820604,-5.6890454,2020-08-08,2020,8,Ago,BJU
1.8598293,-5.064381,2020-08-09,2020,8,Ago,BJU
2.4259644,-3.970461,2020-08-10,2020,8,Ago,BJU
0.7736118,-3.9584274,2020-08-11,2020,8,Ago,MER
1.9602541,-4.6722817,2020-08-12,2020,8,Ago,BJU
0.6610263,-4.1322527,2020-08-13,2020,8,Ago,UAX
1.9192855,-2.6029782,2020-08-14,2020,8,Ago,MER
1.6136128,-3.0220988,2020-08-15,2020,8,Ago,UAX
1.2285172,-4.8963284,2020-08-16,2020,8,Ago,BJU
1.4415146,-3.7200165,2020-08-17,2020,8,Ago,BJU
1.289316,-3.9444337,2020-08-18,2020,8,Ago,BJU
1.5008776,-3.4457633,2020-08-19,2020,8,Ago,MER
0.9947527,-3.5484805,2020-08-20,2020,8,Ago,BJU
0.2151146,-4.1431446,2020-08-21,2020,8,Ago,BJU
0.5725949,-4.6479754,2020-08-22,2020,8,Ago,BJU
0.37557113,-7.2713976,2020-08-23,2020,8,Ago,BJU
2.0152442,-4.813624,2020-08-24,2020,8,Ago,BJU
3.5185554,-6.2178516,2020-08-25,2020,8,Ago,BJU
1.49663,-4.069666,2020-08-26,2020,8,Ago,BJU
2.7339113,-5.928122,2020-08-27,2020,8,Ago,UAX
1.265435,-2.4824252,2020-08-28,2020,8,Ago,MER
1.383672,-3.7929463,2020-08-29,2020,8,Ago,UAX
2.945893,-7.0265145,2020-08-30,2020,8,Ago,UAX
1.4348611,-4.350408,2020-08-31,2020,8,Ago,UAX
0.60317,-3.9909515,2020-09-01,2020,9,Sep,UAX
0.5614165,-3.925409,2020-09-02,2020,9,Sep,UAX
1.3729733,-4.5256715,2020-09-03,2020,9,Sep,BJU
1.6095351,-5.9673123,2020-09-04,2020,9,Sep,UAX
3.0033748,-5.4269595,2020-09-05,2020,9,Sep,MER
2.2600172,-5.9455247,2020-09-06,2020,9,Sep,MER
2.3086038,-4.879127,2020-09-07,2020,9,Sep,BJU
0.99658674,-3.396025,2020-09-08,2020,9,Sep,UAX
2.0225627,-4.5538383,2020-09-09,2020,9,Sep,BJU
2.2484984,-3.4662936,2020-09-10,2020,9,Sep,MER
1.9315358,-4.4154296,2020-09-11,2020,9,Sep,BJU
1.0157055,-4.430706,2020-09-12,2020,9,Sep,MER
1.4171026,-6.0585074,2020-09-13,2020,9,Sep,MER
1.9021317,-4.0916996,2020-09-14,2020,9,Sep,BJU
1.0898346,-3.672718,2020-09-15,2020,9,Sep,MER
1.2521276,-6.2579956,2020-09-16,2020,9,Sep,MER
2.7360609,-5.331581,2020-09-17,2020,9,Sep,MER
3.7076573,-5.130837,2020-09-18,2020,9,Sep,MER
3.0793188,-4.992015,2020-09-19,2020,9,Sep,MER
0.8907429,-4.3250623,2020-09-20,2020,9,Sep,MER
2.1334822,-3.176277,2020-09-21,2020,9,Sep,MER
0.16679555,-2.040849,2020-09-22,2020,9,Sep,UAX
0.5150475,-2.6513155,2020-09-23,2020,9,Sep,UAX
0.9110574,-2.8839846,2020-09-24,2020,9,Sep,UAX
1.6460791,-2.4832711,2020-09-25,2020,9,Sep,MER
1.5560893,-2.3937745,2020-10-01,2020,10,Oct,MER
1.0669026,-3.4246578,2020-10-02,2020,10,Oct,BJU
0.26881576,-5.864035,2020-10-03,2020,10,Oct,MER
0.57744455,-6.335947,2020-10-04,2020,10,Oct,MER
0.3306421,-4.6456456,2020-10-05,2020,10,Oct,BJU
0.60490555,-2.2848706,2020-10-06,2020,10,Oct,BJU
0.86022544,-0.4621439,2020-10-07,2020,10,Oct,UAX
-0.33020568,-1.4585705,2020-10-08,2020,10,Oct,UAX
0.65223646,-1.7583618,2020-10-09,2020,10,Oct,MER
0.14741981,-3.9124923,2020-10-10,2020,10,Oct,BJU
0.44288385,-4.266826,2020-10-11,2020,10,Oct,BJU
2.0822985,-3.5343244,2020-10-12,2020,10,Oct,UAX
2.6913815,-4.014779,2020-10-13,2020,10,Oct,BJU
2.41701,-4.5902452,2020-10-14,2020,10,Oct,BJU
2.1529171,-3.985115,2020-10-15,2020,10,Oct,BJU
2.6211967,-4.8438754,2020-10-16,2020,10,Oct,BJU
0.62231624,-5.253403,2020-10-17,2020,10,Oct,BJU
1.2183875,-2.3884332,2020-10-18,2020,10,Oct,BJU
1.9977412,-3.3107915,2020-10-19,2020,10,Oct,MER
2.9636576,-3.814806,2020-10-23,2020,10,Oct,MER
-0.42189503,-2.4994621,2020-10-28,2020,10,Oct,MER
0.89346015,-1.7235804,2020-10-29,2020,10,Oct,MER
0.9976922,-3.3093646,2020-10-30,2020,10,Oct,BJU
1.2118864,-2.3671012,2020-10-31,2020,10,Oct,UAX
2.5019262,-4.9954906,2020-11-01,2020,11,Nov,BJU
1.02984,-7.500423,2020-11-02,2020,11,Nov,MER
1.4938202,-3.4740374,2020-11-03,2020,11,Nov,BJU
2.9111555,-3.8496585,2020-11-04,2020,11,Nov,UAX
2.1991353,-3.732306,2020-11-05,2020,11,Nov,UAX
1.6227713,-2.4511607,2020-11-06,2020,11,Nov,BJU
1.0780276,-2.2164583,2020-11-07,2020,11,Nov,BJU
0.43008286,-1.4002405,2020-11-08,2020,11,Nov,MER
0.97673905,-0.42706895,2020-11-09,2020,11,Nov,MER
2.2052338,-0.7911679,2020-11-10,2020,11,Nov,BJU
0.7096082,-0.04647933,2020-11-11,2020,11,Nov,MER
-0.07091432,-0.8564876,2020-11-12,2020,11,Nov,MER
3.353237,-1.2178535,2020-11-13,2020,11,Nov,BJU
1.2243316,-0.20063706,2020-11-14,2020,11,Nov,MER
1.4339913,-2.3224535,2020-11-15,2020,11,Nov,MER
1.67595,-5.6144924,2020-11-16,2020,11,Nov,BJU
2.7483482,-5.551953,2020-11-17,2020,11,Nov,BJU
3.2076504,-4.661328,2020-11-18,2020,11,Nov,BJU
2.5124729,-3.447134,2020-11-19,2020,11,Nov,UAX
5.0897927,-5.175559,2020-11-20,2020,11,Nov,UAX
2.950606,-5.7634754,2020-11-21,2020,11,Nov,BJU
2.471945,-4.9705977,2020-11-22,2020,11,Nov,BJU
3.168991,-3.7342846,2020-11-23,2020,11,Nov,UAX
6.4517817,-2.4770546,2020-11-24,2020,11,Nov,UAX
3.8755672,-2.3401763,2020-11-25,2020,11,Nov,MER
4.512419,-2.3449078,2020-11-26,2020,11,Nov,UAX
5.3402963,-1.5502498,2020-11-27,2020,11,Nov,UAX
4.7621927,-0.8891192,2020-11-28,2020,11,Nov,BJU
1.3230678,0.529829,2020-11-29,2020,11,Nov,UAX
1.9012458,-2.8348064,2020-11-30,2020,11,Nov,BJU
2.981832,-3.3348544,2020-12-01,2020,12,Dic,MER
1.8340858,-3.6540995,2020-12-02,2020,12,Dic,UAX
3.1395915,-3.6180205,2020-12-03,2020,12,Dic,MER
3.9199271,-4.3412848,2020-12-04,2020,12,Dic,BJU
3.2451055,-4.331891,2020-12-05,2020,12,Dic,UAX
2.572733,-4.5538354,2020-12-06,2020,12,Dic,UAX
3.1825428,-3.8973398,2020-12-07,2020,12,Dic,UAX
3.4893126,-3.384489,2020-12-08,2020,12,Dic,BJU
2.5279908,-2.508657,2020-12-12,2020,12,Dic,BJU
2.1311147,-3.5760803,2020-12-13,2020,12,Dic,UAX
1.0345293,-3.0273862,2020-12-14,2020,12,Dic,MER
2.138921,-3.1622438,2020-12-15,2020,12,Dic,MER
1.6313591,-2.462992,2020-12-16,2020,12,Dic,BJU
2.2522552,-2.48933,2020-12-17,2020,12,Dic,BJU
3.495701,-2.6372674,2020-12-18,2020,12,Dic,BJU
2.0621145,-1.9670593,2020-12-19,2020,12,Dic,MER
0.88947964,-2.809125,2020-12-20,2020,12,Dic,MER
1.7379476,-2.1391926,2020-12-21,2020,12,Dic,BJU
2.7471461,-1.5808792,2020-12-22,2020,12,Dic,BJU
4.470307,-1.5079103,2020-12-23,2020,12,Dic,MER
2.9705563,-0.08490236,2020-12-24,2020,12,Dic,UAX
0.9154315,-4.174772,2020-12-25,2020,12,Dic,MER
1.448854,-2.6301417,2020-12-26,2020,12,Dic,MER
2.504364,-2.5989926,2020-12-27,2020,12,Dic,UAX
6.6832705,-2.015007,2020-12-28,2020,12,Dic,UAX
5.034609,-0.58669776,2020-12-29,2020,12,Dic,BJU
1.3438792,-2.2149816,2020-12-30,2020,12,Dic,MER
1.098965,-6.349009,2020-12-31,2020,12,Dic,UAX
1.6626662,-3.1617107,2021-01-01,2021,1,Ene,BJU
2.7235396,-1.4101076,2021-01-02,2021,1,Ene,BJU
1.8890733,-2.6105144,2021-01-03,2021,1,Ene,BJU
5.223684,-1.46145,2021-01-04,2021,1,Ene,UAX
3.767516,-2.1178324,2021-01-05,2021,1,Ene,UAX
4.468899,-2.8628745,2021-01-06,2021,1,Ene,UAX
3.0731893,-3.091085,2021-01-07,2021,1,Ene,UAX
2.2457016,-2.2420113,2021-01-08,2021,1,Ene,UAX
2.0984914,-3.3776698,2021-01-09,2021,1,Ene,BJU
2.6542568,-5.210541,2021-01-10,2021,1,Ene,UAX
3.3524384,-5.2581296,2021-01-11,2021,1,Ene,BJU
3.3214345,-5.0910525,2021-01-12,2021,1,Ene,UAX
2.4965744,-2.233731,2021-01-29,2021,1,Ene,BJU
3.1889791,-1.0329803,2021-01-30,2021,1,Ene,BJU
1.5518502,-2.747082,2021-01-31,2021,1,Ene,UAX
1.1722924,-4.6730685,2021-02-01,2021,2,Feb,BJU
5.699761,-3.381565,2021-02-02,2021,2,Feb,UAX
6.825396,-2.8175058,2021-02-03,2021,2,Feb,UAX
5.2867417,-0.35340863,2021-02-04,2021,2,Feb,BJU
2.5307343,0.47835118,2021-02-05,2021,2,Feb,MER
0.7012626,-1.480961,2021-02-06,2021,2,Feb,UAX
0.23570776,-3.7993927,2021-02-07,2021,2,Feb,MER
1.6625963,-2.8787296,2021-02-08,2021,2,Feb,UAX
1.6081035,-2.0117273,2021-02-09,2021,2,Feb,UAX
3.0021758,-2.3981643,2021-02-10,2021,2,Feb,MER
2.9932663,-4.493384,2021-02-11,2021,2,Feb,UAX
3.0535524,-5.6735373,2021-02-12,2021,2,Feb,UAX
2.0810022,-5.269974,2021-02-13,2021,2,Feb,UAX
1.13864,-4.9412045,2021-02-14,2021,2,Feb,UAX
1.4107329,-2.8729722,2021-02-15,2021,2,Feb,UAX
1.9115824,-3.1773975,2021-02-16,2021,2,Feb,UAX
1.6121441,-3.3506472,2021-02-17,2021,2,Feb,UAX
2.0562413,-1.8901792,2021-02-18,2021,2,Feb,MER
2.93764,-0.85794485,2021-02-19,2021,2,Feb,BJU
1.3973742,-1.3751001,2021-02-20,2021,2,Feb,BJU
-0.102879874,-1.9743291,2021-02-21,2021,2,Feb,MER
1.6881872,-1.513045,2021-02-22,2021,2,Feb,MER
0.6499529,-1.9781357,2021-02-23,2021,2,Feb,BJU
3.9842494,-3.3593743,2021-02-24,2021,2,Feb,BJU
0.40909794,-1.6944863,2021-02-25,2021,2,Feb,UAX
-0.19349217,-0.9777176,2021-02-26,2021,2,Feb,MER
-0.7388829,-1.4950125,2021-02-27,2021,2,Feb,MER
-0.2407605,-3.117416,2021-02-28,2021,2,Feb,UAX
-0.36161923,-1.359465,2021-03-01,2021,3,Mar,MER
-0.71348524,-5.5560355,2021-03-02,2021,3,Mar,UAX
-0.24527621,-2.9867964,2021-03-03,2021,3,Mar,MER
0.45256886,-1.6759659,2021-03-04,2021,3,Mar,MER
1.2283431,-1.2321817,2021-03-05,2021,3,Mar,MER
0.55011535,-3.4287074,2021-03-06,2021,3,Mar,BJU
1.5806798,-3.241556,2021-03-07,2021,3,Mar,MER
2.1505253,-3.1848178,2021-03-08,2021,3,Mar,UAX
1.4185522,-2.4626036,2021-03-09,2021,3,Mar,BJU
4.043184,-2.8720422,2021-03-10,2021,3,Mar,BJU
3.2063224,-2.3603954,2021-03-11,2021,3,Mar,MER
1.0518943,-1.6414361,2021-03-12,2021,3,Mar,UAX
0.5219173,-1.9244567,2021-03-13,2021,3,Mar,UAX
0.3186825,-3.3048165,2021-03-14,2021,3,Mar,MER
0.44571263,-2.3935156,2021-03-15,2021,3,Mar,UAX
1.3921561,-2.9843845,2021-03-16,2021,3,Mar,UAX
0.72773564,-3.8175077,2021-03-17,2021,3,Mar,MER
0.78171057,-4.071135,2021-03-18,2021,3,Mar,UAX
1.0702045,-2.2142406,2021-03-19,2021,3,Mar,UAX
1.0044466,-1.9869612,2021-03-20,2021,3,Mar,MER
0.16370821,-3.8623178,2021-03-21,2021,3,Mar,UAX
1.1027018,-3.3100126,2021-03-22,2021,3,Mar,BJU
1.1166943,-3.5973997,2021-03-23,2021,3,Mar,BJU
1.4611712,-3.1321774,2021-03-24,2021,3,Mar,BJU
1.1232344,-1.7025189,2021-03-25,2021,3,Mar,UAX
1.0739616,-1.4630814,2021-03-26,2021,3,Mar,MER
-0.3019503,-2.1678133,2021-03-27,2021,3,Mar,UAX
0.4029684,-3.834659,2021-03-28,2021,3,Mar,BJU
0.5698402,-4.9792867,2021-03-29,2021,3,Mar,MER
0.41047615,-2.7197452,2021-03-30,2021,3,Mar,UAX
0.5923178,-2.6796575,2021-03-31,2021,3,Mar,MER
1.2928429,-7.3391104,2021-04-01,2021,4,Abr,MER
1.546699,-6.6453347,2021-04-02,2021,4,Abr,MER
1.2476625,-5.004333,2021-04-03,2021,4,Abr,MER
0.7261629,-4.792429,2021-04-04,2021,4,Abr,MER
1.434268,-3.1074803,2021-04-05,2021,4,Abr,BJU
1.140978,-3.0721736,2021-04-06,2021,4,Abr,UAX
0.22921258,-3.1409721,2021-04-07,2021,4,Abr,UAX
-0.8042733,-3.5821898,2021-04-08,2021,4,Abr,UAX
-0.61561024,-3.686644,2021-04-09,2021,4,Abr,BJU
-0.4864381,-4.0142703,2021-04-10,2021,4,Abr,UAX
-0.28734052,-4.4188256,2021-04-11,2021,4,Abr,UAX
-0.17178088,-2.7410555,2021-04-12,2021,4,Abr,MER
-0.56944567,-2.159827,2021-04-13,2021,4,Abr,MER
-0.53481585,-2.647258,2021-04-14,2021,4,Abr,BJU
-0.5585222,-3.0616903,2021-04-15,2021,4,Abr,MER
-0.66399944,-2.2197034,2021-04-16,2021,4,Abr,MER
-0.06840318,-1.3326949,2021-04-17,2021,4,Abr,UAX
0.5909809,-2.7352388,2021-04-18,2021,4,Abr,UAX
0.61298245,-1.9176935,2021-04-19,2021,4,Abr,UAX
0.034788676,-2.6308293,2021-04-20,2021,4,Abr,BJU
0.10371489,-1.7733816,2021-04-21,2021,4,Abr,BJU
-0.29912895,-3.4646459,2021-04-22,2021,4,Abr,UAX
-0.326541,-2.6169572,2021-04-23,2021,4,Abr,BJU
-1.149952,-3.1478772,2021-04-24,2021,4,Abr,MER
-0.584334,-6.045469,2021-04-25,2021,4,Abr,BJU
-1.1384026,-3.780798,2021-04-26,2021,4,Abr,MER
-0.9910811,-3.660369,2021-04-27,2021,4,Abr,MER
-0.45480716,-5.278713,2021-04-28,2021,4,Abr,UAX
